[EVENTS] england-premier-league: 11
[EVENTS] england-championship: 24
[EVENTS] germany-bundesliga: 9
[EVENTS] france-ligue-1: 9
[EVENTS] italy-serie-a: 10
[EVENTS] italy-serie-b: 10
[EVENTS] spain-laliga: 10
[EVENTS] spain-laliga-2: 11
[EVENTS] turkiye-super-lig: 11
[MAP] mapped=728/784
[ODDS] unique_events=92
[ODDS] payloads_received=83
Generated at (UTC): 2025-10-16T19:03:36.961095
Min price: 1.20 | Combo≥0.50 | Shots/SOT/Corners OVER ML≤3.50 | Shots/SOT/Corners UNDER ML>3.50 | Window=7 | Bookmakers=Bet365
 • FC Union Berlin — Corners Over 4.5 @ 1.615 | Union Berlin vs Borussia Monchengladbach | side=home | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.150 | Team Corners Home
 • VfL Wolfsburg — SOT Over 3.5 @ 1.615 | VfL Wolfsburg vs VfB Stuttgart | side=home | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.620 | Team Shots on Target Home

===== TEAM LINES — UNDER (Conservative; underdogs only for Shots/SOT/Corners) =====
 • Lazio — Corners Under 3.5 @ 1.833 | Atalanta BC vs Lazio Rome | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=4.600 | Team Corners Away
 • Sporting Gijón — Corners Under 3.5 @ 1.666 | Real Valladolid vs Sporting Gijon | side=away | team= 66.7% oppA= 77.8% combo= 66.7% | ML=4.330 | Team Corners Away
 • Watford — Corners Under 4.5 @ 1.666 | Sheffield United vs Watford FC | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=4.000 | Team Corners Away
 • Real Betis — Shots Under 12.5 @ 1.833 | Villarreal CF vs Real Betis Seville | side=away | team= 62.5% oppA= 62.5% combo= 62.5% | ML=4.000 | Team Shots Away
 • Girona — Shots Under 8.5 @ 1.727 | FC Barcelona vs Girona FC | side=away | team= 62.5% oppA= 75.0% combo= 62.5% | ML=12.000 | Team Shots Away
 • Fulham — Corners Under 3.5 @ 2.000 | Fulham FC vs Arsenal FC | side=home | team= 57.1% oppA= 85.7% combo= 57.1% | ML=5.500 | Team Corners Home
 • Cesena — Corners Under 3.5 @ 2.000 | Spezia Calcio vs Cesena FC | side=away | team= 57.1% oppA= 57.1% combo= 57.1% | ML=3.700 | Team Corners Away
