Generated at (UTC): 2025-11-01T12:52:02.592292
Window=7 days | Min price=1.20 | ML filter (Shots/SOT/Corners): ≤ 3.50

===== TEAM LINES — OVER (ranked by combo % then price) =====
 • Real Zaragoza — Corners Over 4.5 @ 1.830 | Real Zaragoza vs Deportivo La Coruña | side=home | team 5/10 ( 50.0%), oppA 4/10 ( 40.0%) | combo= 45.0% | ML=3.100 | Team Corners Home
 • Birmingham City — Corners Over 5.5 @ 1.720 | Birmingham City vs Portsmouth | side=home | team 5/10 ( 50.0%), oppA 4/10 ( 40.0%) | combo= 45.0% | ML=1.720 | Team Corners Home
 • Ipswich Town — Corners Over 5.5 @ 2.000 | Queens Park Rangers vs Ipswich Town | side=away | team 6/10 ( 60.0%), oppA 3/10 ( 30.0%) | combo= 45.0% | ML=2.150 | Team Corners Away
 • Inter — Shots Over 15.5 @ 1.800 | Hellas Verona vs Inter | side=away | team 6/8 ( 75.0%), oppA 1/7 ( 14.3%) | combo= 44.6% | ML=1.360 | Team Shots Away
 • Atalanta — SOT Over 4.5 @ 1.900 | Udinese vs Atalanta | side=away | team 5/9 ( 55.6%), oppA 2/6 ( 33.3%) | combo= 44.4% | ML=1.720 | Team Shots on Target Away
 • Juventus — Corners Over 5.5 @ 2.000 | Cremonese vs Juventus | side=away | team 3/8 ( 37.5%), oppA 3/6 ( 50.0%) | combo= 43.8% | ML=1.500 | Team Corners Away
 • Napoli — Corners Over 5.5 @ 2.100 | Napoli vs Como | side=home | team 4/9 ( 44.4%), oppA 3/7 ( 42.9%) | combo= 43.7% | ML=1.900 | Team Corners Home
 • Napoli — Shots Over 14.5 @ 1.900 | Napoli vs Como | side=home | team 4/9 ( 44.4%), oppA 3/7 ( 42.9%) | combo= 43.7% | ML=1.900 | Team Shots Home
 • Real Betis — Corners Over 5.5 @ 1.660 | Real Betis vs Mallorca | side=home | team 2/10 ( 20.0%), oppA 6/9 ( 66.7%) | combo= 43.3% | ML=1.570 | Team Corners Home
 • Chelsea — Tackles Over 19.5 @ 2.000 | Tottenham Hotspur vs Chelsea | side=away | team 2/9 ( 22.2%), oppA 5/8 ( 62.5%) | combo= 42.4% | ML=2.500 | Team Tackles Away
 • Albacete — Corners Over 5.5 @ 2.100 | Albacete vs Huesca | side=home | team 4/10 ( 40.0%), oppA 4/9 ( 44.4%) | combo= 42.2% | ML=2.000 | Team Corners Home
 • Villarreal — Corners Over 5.5 @ 1.800 | Villarreal vs Rayo Vallecano | side=home | team 4/10 ( 40.0%), oppA 4/9 ( 44.4%) | combo= 42.2% | ML=1.660 | Team Corners Home
 • Atlético Madrid — Shots Over 13.5 @ 1.720 | Atlético Madrid vs Sevilla | side=home | team 4/10 ( 40.0%), oppA 4/9 ( 44.4%) | combo= 42.2% | ML=1.330 | Team Shots Home
 • Alanyaspor — Corners Over 4.5 @ 1.660 | Alanyaspor vs Gaziantep F.K. | side=home | team 4/10 ( 40.0%), oppA 4/9 ( 44.4%) | combo= 42.2% | ML=2.100 | Team Corners Home
 • Newcastle United — Shots Over 14.5 @ 1.800 | West Ham United vs Newcastle United | side=away | team 5/9 ( 55.6%), oppA 2/7 ( 28.6%) | combo= 42.1% | ML=1.600 | Team Shots Away
 • Werder Bremen — Corners Over 5.5 @ 2.000 | Werder Bremen vs VfL Wolfsburg | side=home | team 1/8 ( 12.5%), oppA 5/7 ( 71.4%) | combo= 42.0% | ML=2.200 | Team Corners Home
 • Arsenal — Shots Over 17.5 @ 2.000 | Burnley vs Arsenal | side=away | team 3/9 ( 33.3%), oppA 4/8 ( 50.0%) | combo= 41.7% | ML=1.250 | Team Shots Away
 • Fulham — Corners Over 5.5 @ 2.000 | Fulham vs Wolverhampton Wanderers | side=home | team 3/9 ( 33.3%), oppA 4/8 ( 50.0%) | combo= 41.7% | ML=1.750 | Team Corners Home
 • Tottenham Hotspur — Shots Over 11.5 @ 1.830 | Tottenham Hotspur vs Chelsea | side=home | team 3/9 ( 33.3%), oppA 4/8 ( 50.0%) | combo= 41.7% | ML=2.750 | Team Shots Home
 • Sunderland — SOT Over 3.5 @ 1.800 | Sunderland vs Everton | side=home | team 3/9 ( 33.3%), oppA 4/8 ( 50.0%) | combo= 41.7% | ML=2.800 | Team Shots on Target Home
 • Atalanta — Shots Over 13.5 @ 1.800 | Udinese vs Atalanta | side=away | team 6/9 ( 66.7%), oppA 1/6 ( 16.7%) | combo= 41.7% | ML=1.720 | Team Shots Away
 • Deportivo Alavés — Corners Over 5.5 @ 1.830 | Deportivo Alavés vs Espanyol | side=home | team 6/10 ( 60.0%), oppA 2/9 ( 22.2%) | combo= 41.1% | ML=2.370 | Team Corners Home
 • St. Pauli — Corners Over 5.5 @ 1.830 | St. Pauli vs Borussia Mönchengladbach | side=home | team 2/8 ( 25.0%), oppA 4/7 ( 57.1%) | combo= 41.1% | ML=2.350 | Team Corners Home
 • FSV Mainz 05 — Shots Over 14.5 @ 1.800 | FSV Mainz 05 vs Werder Bremen | side=home | team 2/8 ( 25.0%), oppA 4/7 ( 57.1%) | combo= 41.1% | ML=1.750 | Team Shots Home
 • FSV Mainz 05 — Shots Over 13.5 @ 1.720 | FSV Mainz 05 vs Werder Bremen | side=home | team 2/8 ( 25.0%), oppA 4/7 ( 57.1%) | combo= 41.1% | ML=1.750 | Team Shots Home
 • Sunderland — Tackles Over 17.5 @ 2.000 | Sunderland vs Everton | side=home | team 4/9 ( 44.4%), oppA 3/8 ( 37.5%) | combo= 41.0% | ML=2.800 | Team Tackles Home
 • Manchester United — Shots Over 13.5 @ 1.900 | Nottingham Forest vs Manchester United | side=away | team 4/9 ( 44.4%), oppA 3/8 ( 37.5%) | combo= 41.0% | ML=2.050 | Team Shots Away
 • Chelsea — Shots Over 13.5 @ 1.830 | Tottenham Hotspur vs Chelsea | side=away | team 4/9 ( 44.4%), oppA 3/8 ( 37.5%) | combo= 41.0% | ML=2.500 | Team Shots Away
 • Brighton & Hove Albion — SOT Over 4.5 @ 1.800 | Brighton & Hove Albion vs Leeds United | side=home | team 4/9 ( 44.4%), oppA 3/8 ( 37.5%) | combo= 41.0% | ML=1.950 | Team Shots on Target Home
 • Manchester City — Corners Over 5.5 @ 1.660 | Manchester City vs AFC Bournemouth | side=home | team 4/9 ( 44.4%), oppA 3/8 ( 37.5%) | combo= 41.0% | ML=1.500 | Team Corners Home
 • Napoli — SOT Over 4.5 @ 1.800 | Napoli vs Como | side=home | team 6/9 ( 66.7%), oppA 1/7 ( 14.3%) | combo= 40.5% | ML=1.900 | Team Shots on Target Home
 • Liverpool — Shots Over 15.5 @ 1.720 | Liverpool vs Aston Villa | side=home | team 5/9 ( 55.6%), oppA 2/8 ( 25.0%) | combo= 40.3% | ML=1.610 | Team Shots Home
 • Sassuolo — SOT Over 4.5 @ 2.000 | Sassuolo vs Genoa | side=home | team 3/8 ( 37.5%), oppA 3/7 ( 42.9%) | combo= 40.2% | ML=2.450 | Team Shots on Target Home
 • RB Leipzig — Corners Over 5.5 @ 1.900 | RB Leipzig vs VfB Stuttgart | side=home | team 3/8 ( 37.5%), oppA 3/7 ( 42.9%) | combo= 40.2% | ML=2.000 | Team Corners Home
 • FC Köln — SOT Over 4.5 @ 1.660 | FC Köln vs Hamburger SV | side=home | team 3/8 ( 37.5%), oppA 3/7 ( 42.9%) | combo= 40.2% | ML=2.150 | Team Shots on Target Home
