===== League 8 =====
AFC Bournemouth: SOT: 5,5,6,5,2,5,6,4,3 | Shots: 13,8,11,12,11,13,20,14,10 | Fouls: 17,16,8,13,7,16,13,13,10 | Tackles: 9,18,10,23,15,18,28,12,20 | Cards: 3,4,0,2,2,4,4,2,2 | Saves: 4,4,3,6,1,1,1,1,6 | GKicks: 7,11,6,5,5,12,9,7,11 | Corners: 6,5,4,4,5,4,8,8,7
Charlton Athletic: SOT: 5,8,5,0,3,7,4,3,3,7 | Shots: 11,15,12,8,11,16,13,14,13,20 | Fouls: 9,11,9,9,10,15,18,12,7,18 | Tackles: 8,13,17,24,19,16,13,13,8,22 | Cards: 1,3,1,2,0,4,3,4,2,2 | Saves: 4,6,3,1,2,2,1,2,3,1 | GKicks: 5,15,9,19,10,8,7,5,9,6 | Corners: 2,3,2,4,2,3,1,3,2,13
Coventry City: SOT: 5,3,7,5,10,5,5,3,4,6 | Shots: 18,12,19,14,21,13,14,11,28,15 | Fouls: 10,10,12,7,3,9,11,11,12,10 | Tackles: 19,19,12,16,20,10,16,18,9,6 | Cards: 1,3,1,0,1,2,1,3,2,2 | Saves: 3,6,4,3,0,3,0,9,0,1 | GKicks: 8,4,10,10,5,13,5,5,3,13 | Corners: 6,5,5,2,8,3,3,3,11,5
Derby County: SOT: 4,3,1,5,3,3,2,1,2,2 | Shots: 12,8,6,9,18,5,7,4,10,5 | Fouls: 13,13,12,11,11,16,10,10,14,15 | Tackles: 15,6,16,17,19,13,15,13,20,14 | Cards: 2,2,1,4,2,5,2,2,7,3 | Saves: 1,3,6,5,2,4,5,4,4,2 | GKicks: 7,6,10,8,6,8,4,12,11,5 | Corners: 5,5,12,3,5,3,3,0,3,4
Hull City: SOT: 4,4,6,7,2,5,4,4,6,9 | Shots: 9,15,9,14,5,10,11,11,15,20 | Fouls: 12,8,8,14,13,11,16,15,5,8 | Tackles: 20,11,27,15,14,11,16,16,17,15 | Cards: 2,2,1,7,2,0,5,5,1,1 | Saves: 3,4,2,6,2,3,5,3,0,1 | GKicks: 15,7,15,10,9,8,9,10,9,10 | Corners: 4,6,1,7,4,5,6,1,2,5
Ipswich Town: SOT: 4,5,5,9,3,5,11,5,2,1 | Shots: 15,31,17,19,15,14,21,18,15,14 | Fouls: 12,7,14,9,11,15,11,14,5,7 | Tackles: 12,7,9,11,12,14,15,9,15,12 | Cards: 1,0,1,1,2,1,0,2,2,2 | Saves: 1,5,4,3,2,2,2,0,0,2 | GKicks: 5,8,7,6,10,2,10,5,7,7 | Corners: 4,16,9,8,6,5,3,6,6,4
Leicester City: SOT: 1,3,4,6,7,1,1,9,5,2 | Shots: 12,12,18,19,17,16,13,17,8,5 | Fouls: 9,8,12,15,11,9,16,8,11,11 | Tackles: 13,14,19,12,18,10,8,13,16,20 | Cards: 0,2,2,1,1,3,5,0,3,3 | Saves: 4,3,4,2,6,0,4,3,1,1 | GKicks: 6,9,6,5,8,8,8,12,10,7 | Corners: 7,9,7,14,5,7,3,10,4,1
Middlesbrough: SOT: 4,7,5,1,4,1,4,3,6,4 | Shots: 14,19,15,12,12,7,9,14,15,11 | Fouls: 8,4,12,6,8,17,3,7,5,14 | Tackles: 21,15,8,16,17,19,15,21,20,22 | Cards: 0,1,3,1,2,6,0,3,0,3 | Saves: 1,4,3,0,5,1,2,0,0,2 | GKicks: 1,8,9,5,7,5,11,5,9,8 | Corners: 4,5,5,8,5,3,2,4,5,3
Millwall: SOT: 4,7,5,4,3,4,2,3,2,6 | Shots: 9,15,5,11,13,11,9,15,21,17 | Fouls: 12,13,11,17,9,20,11,18,10,16 | Tackles: 28,12,24,21,19,22,23,15,13,12 | Cards: 1,2,4,1,2,2,1,1,1,2 | Saves: 3,3,2,1,1,1,4,2,1,2 | GKicks: 10,13,12,11,5,9,7,8,4,12 | Corners: 5,3,3,4,3,4,7,4,5,7
Norwich City: SOT: 3,3,3,4,4,5,3,5,1,4 | Shots: 15,7,17,11,12,16,6,14,4,15 | Fouls: 8,12,7,11,15,8,9,6,7,7 | Tackles: 12,15,13,13,16,18,30,15,17,13 | Cards: 1,1,1,2,3,1,3,1,6,0 | Saves: 2,1,2,4,6,0,4,5,3,3 | GKicks: 9,4,3,6,9,3,12,6,15,10 | Corners: 6,3,13,3,8,4,1,2,2,9
Oxford United: SOT: 4,2,7,5,0,3,6,2,3,1 | Shots: 11,6,19,15,9,14,18,19,14,6 | Fouls: 11,12,9,9,11,10,14,10,13,17 | Tackles: 22,22,13,16,25,24,17,11,15,24 | Cards: 0,1,4,4,1,1,1,1,1,0 | Saves: 4,5,1,9,1,1,1,3,4,0 | GKicks: 7,3,4,14,8,5,7,5,14,11 | Corners: 3,3,4,3,1,3,5,4,0,1
Portsmouth: SOT: 3,5,3,1,5,3,5,1,2,4 | Shots: 14,15,8,8,15,7,25,10,10,8 | Fouls: 8,5,9,13,9,11,5,14,11,16 | Tackles: 9,8,13,14,12,14,5,14,17,18 | Cards: 2,1,2,2,2,2,1,2,1,5 | Saves: 2,3,5,1,4,3,6,1,2,2 | GKicks: 14,13,13,13,6,11,8,5,12,5 | Corners: 6,6,4,2,3,4,11,5,6,3
