Generated at (UTC): 2025-10-13T20:17:35Z
Min price: 1.80  |  Bookmaker: Bet365  |  Leagues: 16

===== SOT 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
Álvaro Rodríguez       Elche                  Elche CF vs Athletic Bilbao               21.000 Player Shots                      3.60    2.20
Antonio Blanco         Deportivo Alavés       Deportivo Alaves vs Valencia CF           19.000 Player Shots                      2.40    3.25
Bobby Thomas           Coventry City          Coventry City vs Blackburn Rovers         19.000 Player Shots                      1.57    5.50
Brandon Thomas-Asante  Coventry City          Coventry City vs Blackburn Rovers         19.000 Player Shots                      1.57    5.50
Cyril Ngonge           Torino                 Torino FC vs SSC Napoli                   19.000 Player Shots                      5.00    1.75
Danilho Doekhi         FC Union Berlin        Union Berlin vs Borussia Monchengladbach  19.000 Player Shots                      2.20    3.10
Demarai Gray           Birmingham City        Birmingham City vs Hull City              19.000 Player Shots                      1.80    4.33
Ephron Mason-Clark     Coventry City          Coventry City vs Blackburn Rovers         19.000 Player Shots                      1.57    5.50
Haji Wright            Coventry City          Coventry City vs Blackburn Rovers         19.000 Player Shots                      1.57    5.50
Hicham Boudaoui        Nice                   OGC Nice vs Olympique Lyon                19.000 Player Shots                      2.45    2.80
Michael Folorunsho     Cagliari               Cagliari Calcio vs Bologna FC             19.000 Player Shots                      3.30    2.20
Mikael Egill Ellertsso Genoa                  Genoa CFC vs Parma Calcio                 19.000 Player Shots                      2.05    3.75
Rafa Mir               Elche                  Elche CF vs Athletic Bilbao               19.000 Player Shots                      3.60    2.20
Roger Brugué           Levante                Levante UD vs Rayo Vallecano              19.000 Player Shots                      2.55    2.45
Salomón Rondón         Real Oviedo            Real Oviedo vs Espanyol Barcelona         19.000 Player Shots                      3.00    2.37
Tijjani Reijnders      Manchester City        Manchester City vs Everton FC             19.000 Player Shots                      1.40    7.50
Tommy Conway           Middlesbrough          Middlesbrough FC vs Ipswich Town          19.000 Player Shots                      2.80    2.50
Wesley Saïd            Lens                   RC Lens vs Paris FC                       19.000 Player Shots                      1.85    3.90
Ylber Ramadani         Lecce                  US Lecce vs Sassuolo Calcio               19.000 Player Shots                      2.75    2.62
Alexis Saelemaekers    Milan                  AC Milan vs ACF Fiorentina                17.000 Player Shots                      1.50    6.00
Bryan Cristante        Roma                   AS Roma vs Inter Milano                   17.000 Player Shots                      2.60    2.45
Florian Thauvin        Lens                   RC Lens vs Paris FC                       17.000 Player Shots                      1.85    3.90
Giovanni Simeone       Torino                 Torino FC vs SSC Napoli                   17.000 Player Shots                      5.00    1.75
Isaac Jude Price       West Bromwich Albion   West Bromwich Albion vs Preston North En  17.000 Player Shots                      1.80    4.50
Iván Romero            Levante                Levante UD vs Rayo Vallecano              17.000 Player Shots                      2.55    2.45
Jaidon Anthony         Burnley                Burnley FC vs Leeds United                17.000 Player Shots                      2.87    2.20
